metabolite,super_pathway,sub_pathway,rho_gnn,rho_kernel_mkl,rho_lasso,rho_mirth,rho_ridge,rho_unigraph,rho_unitedmet,rho_xgboost,train_r2_gnn,obs_rate_gnn,coef_var_gnn,max_gene_corr_gnn,network_mapped_gnn,posterior_var_unigraph,obs_rate,coef_var,max_gene_corr,network_mapped
1-carboxyethylphenylalanine,Amino Acid,Phenylalanine Metabolism,-0.09185140222635194,-0.07386830124321704,-0.049134925152067355,-0.07463139206453821,-0.07219535517091027,-0.09568927124190799,-0.09986791373826177,-0.05322309816635565,0.37500012329031535,0.23167539267015708,0.06619856277045345,0.8294004568878071,0.0,48.15425863874347,0.23167302284371508,0.06638391557310518,0.8188971689820339,0.0
1-carboxyethyltyrosine,Amino Acid,Tyrosine Metabolism,-0.11344963170535463,-0.09942997684619331,-0.08934266510492188,-0.09824109359186972,-0.09169709778983173,-0.12423817629209895,-0.1206932414104999,-0.10570272022819382,0.37500012329031535,0.10471204188481675,0.06910403104599008,0.5900311159777161,0.0,70.47432879581154,0.10471384362520386,0.06842024303101621,0.5988035752763871,0.0
1-carboxyethylvaline,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",-0.09486936526203277,-0.0676785289664813,-0.06435591701957293,-0.06733682095201429,-0.06756756439068339,-0.09372367809251816,-0.10511919073200879,-0.055396081925705234,0.37500012329031535,0.23167539267015708,0.05973228897738117,0.8276115079012345,0.0,53.635489005235556,0.23167302284371508,0.05992670524519211,0.8173085507825971,0.0
1-dihomo-linolenylglycerol (20:3),Lipid,Monoacylglycerol,-0.07148435615584815,-0.08790986290158388,-0.045825076143129154,-0.08452809604716269,-0.0609879517293057,-0.08729537651967835,-0.08520983577508154,-0.04430176709722937,0.37500012329031535,0.23167539267015708,0.14732321697245407,0.8081055472717273,0.0,43.444420942408385,0.23167302284371508,0.14882264186482916,0.7974772645360092,0.0
1-dihomo-linoleoylglycerol (20:2),Lipid,Monoacylglycerol,-0.1323122650922703,-0.13918233288069234,-0.1494986014094457,-0.13781649514630664,-0.17284644593949233,-0.1320344278880562,-0.13338455041820563,-0.14391050296087837,0.37500012329031535,0.03664921465968586,0.10122791479752802,0.6922202461253513,0.0,70.6390952879581,0.03665267023639842,0.10814684076565646,0.7012033277092623,0.0
1-dihomo-linoleoylglycerophosphocholine (20:2n6),,,0.18956561739232983,0.19515336726740087,0.20385251152271183,0.19744573030232532,0.20246360403073982,0.1936604598208496,0.2069315880276536,0.1998204312348744,0.37500012329031535,0.20026178010471204,0.9176114815669971,0.4604189559277321,0.0,68.22331308900523,0.20025553115810832,0.9255468473932863,0.4633079926797081,0.0
1-docosahexaenoylglycerol (1-monodocosahexaenoin),Lipid,Monoacylglycerol,-0.06675118533595883,-0.05136534522980429,-0.044179643833719896,-0.051739879417209575,-0.04394486562034518,-0.047037329587126045,-0.04185741155420541,-0.035544585741377116,0.37500012329031535,0.18586387434554974,0.23452883643371739,0.7842644819160924,0.0,63.30555811518326,0.18586617358141685,0.2335072362699754,0.774391216152563,0.0
1-docosahexaenoylglycerophosphocholine,,,0.021497187082791247,0.01981067752210214,0.02868080961535639,0.021040115933084146,0.020959699524635556,0.03365301074369143,0.03548859855447872,0.024672036376967958,0.37500012329031535,0.08115183246073299,0.08798226454102699,0.8468149627414835,0.0,64.2992607329843,0.081152329956213,0.08754328054222343,0.8449624671645769,0.0
1-docosahexaenoylglycerophosphocholine (22:6n3),,,-0.11544615472685503,-0.12128810233270831,-0.12887034608563497,-0.12109312510415582,-0.14158462400419036,-0.1163470594562405,-0.11274716080599721,-0.14415031093266378,0.37500012329031535,0.041884816753926704,0.058991057838335956,0.4775168300740882,0.0,71.13364921465971,0.04188784878719006,0.0644431513779926,0.4908458950074695,0.0
1-docosahexaenoylglycerophosphoethanolamine,,,0.02634249016941987,0.018403994188427766,0.03594174055528799,0.015237781796221626,0.021371137049171336,0.03164764974613442,0.03227269095848277,0.032737538794082525,0.37500012329031535,0.08115183246073299,0.06362972586123289,0.8461449253017528,0.0,63.78393612565446,0.081152329956213,0.06407209657604614,0.8444102359601108,0.0
1-eicosatrienoylglycerophosphocholine,,,0.030040965711899462,0.024872939175567228,0.02208142621646704,0.02346605214554433,0.025297020423450545,0.020206270209806393,0.022026707430239423,0.014565569296360333,0.37500012329031535,0.08115183246073299,0.04543560608006424,0.8472330640662711,0.0,68.86584712041885,0.081152329956213,0.04541651353853232,0.846862165383298,0.0
1-eicosatrienoylglycerophosphocholine (20:3),,,0.13720367304975462,0.15072137314253345,0.13707545237496185,0.15188353408838293,0.14014143936338383,0.1326296917523103,0.13039162366634713,0.14767588680162316,0.37500012329031535,0.14267015706806283,1.1789150287796148,0.3821723316763522,0.0,72.26753298429315,0.14266343079471475,1.201760510611267,0.3343586684473972,0.0
1-eicosenoylglycerophosphocholine (20:1n9),,,0.03540277406740527,0.021502521193967932,0.03806974175855661,0.02242458181503046,0.031937797830307375,0.029926831264564045,0.027571852358165425,0.03342657079243605,0.37500012329031535,0.08115183246073299,0.061623667371917136,0.8458294672908457,0.0,64.75746910994764,0.081152329956213,0.06189492955629594,0.848128307675188,0.0
1-heptadecanoylglycerol (1-monoheptadecanoin),Lipid,Monoacylglycerol,-0.1553931015753094,-0.140231884873457,-0.1584599452006335,-0.1446205338543264,-0.16874281151218512,-0.1485549329818658,-0.15161057762931499,-0.16853381016438934,0.37500012329031535,0.03534031413612565,0.06278977846974829,0.3570786060826432,0.0,75.00096439790576,0.03533777623688637,0.06744371908013838,0.37123379542185786,0.0
1-heptadecanoylglycerophosphoethanolamine,,,0.13172233043550277,0.1492138942399945,0.1376444616176314,0.14965891292730818,0.1517377123949411,0.13160160191894377,0.13064525502774565,0.11697404378674417,0.37500012329031535,0.16099476439790578,66.1165064940856,0.07682167390553211,0.0,59.03331832460735,0.16099104998908534,18.52247233713775,0.06744023495514995,0.0
1-lignoceroyl-GPC (24:0),Lipid,Lysophospholipid,-0.028684650471399883,-0.030599089970985757,-0.0022734726344385506,-0.027817735133375415,0.004698334605691399,-0.03463539344068507,-0.04081718871343456,-0.004310932686594431,0.37500012329031535,0.06806282722513088,0.11067057021726891,0.5824887785682686,1.0,0.0,0.06806117338880542,0.10844654208480381,0.5768179662753756,1.0
1-linoleoyl-2-arachidonoyl-GPC (18:2/20:4n6),,,0.003827916985054723,0.004291635569321798,0.0349186509405802,0.005348038044408348,0.017112727736521935,0.013058676572339053,0.02358344123928548,0.04782137828498708,0.37500012329031535,0.3285340314136126,0.07688644461085742,0.8113371936272352,0.0,53.74187958115186,0.32853730883316,0.0770626262019637,0.8316408921529618,0.0
1-linoleoyl-2-arachidonoyl-GPE (18:2/20:4),,,0.0774369070091551,0.05361424841120083,0.0875065146236924,0.05916010415151354,0.0741981890797519,0.06413065603415499,0.05943862493811197,0.08664236052547136,0.37500012329031535,0.2238219895287958,0.033833337608090264,0.7144521617745088,0.0,47.889073298429295,0.22382346520795612,0.033852425561609785,0.7106289847712112,0.0
1-linoleoyl-2-linolenoyl-GPC (18:2/18:3),,,-0.0895064058916902,-0.07210520990375141,-0.040445956281338055,-0.07560303153797036,-0.062261438428529645,-0.06555118009478003,-0.07458238618034191,-0.041500601636539604,0.37500012329031535,0.23167539267015708,0.0992250049607273,0.8212331140777536,0.0,54.9106219895288,0.23167302284371508,0.09980238696183395,0.8132698589281128,0.0
1-linoleoyl-GPC (18:2),Lipid,Lysophospholipid,0.17486484284211717,0.21494498597430228,0.15265433470919382,0.21330365156340403,0.20127660394943994,0.19272543582029697,0.17519860272089624,0.17398954450914822,0.37500012329031535,0.8547120418848168,4.560572343399344,0.19341744795283738,0.0,68.02743874345549,0.8547067812062612,4.131224980847543,0.18030586828304604,0.0
1-linoleoyl-GPE (18:2),,,-0.07420870934608104,-0.053189815343511124,-0.06158975606837467,-0.05560463993480885,-0.054114735352658,-0.0735828136210103,-0.07682892263499828,-0.04856154735665923,0.37500012329031535,0.23167539267015708,0.09348540032719876,0.8190186445639254,0.0,53.61906178010469,0.23167302284371508,0.09404187193137013,0.8098897076357946,0.0
