model,model_display,confidence_measure,threshold,n_metabolites,spearman_mean,spearman_median
unitedmet,UnitedMet,train_r2,0.75,1769,0.013450281811659064,0.022518019431727525
unitedmet,UnitedMet,train_r2,0.9,2123,0.010700184803622845,0.019385803253490565
unitedmet,UnitedMet,train_r2,1.0,2359,0.007074046335162115,0.012073954110334071
unitedmet,UnitedMet,max_gene_corr,0.05,117,0.09758577395793588,0.10426529927599228
unitedmet,UnitedMet,max_gene_corr,0.1,235,0.10220767535481975,0.10641109728267198
unitedmet,UnitedMet,max_gene_corr,0.25,589,0.10410367312519608,0.10758633585653019
unitedmet,UnitedMet,max_gene_corr,0.5,1179,0.028813371268982646,0.09419983668507854
unitedmet,UnitedMet,max_gene_corr,0.75,1769,0.005992250213241326,-0.010823888924545685
unitedmet,UnitedMet,max_gene_corr,0.9,2123,0.008145103352978104,0.012073954110334071
unitedmet,UnitedMet,max_gene_corr,1.0,2359,0.007074046335162115,0.012073954110334071
unitedmet,UnitedMet,obs_rate,0.05,117,0.06153654051685111,0.055007093133113416
unitedmet,UnitedMet,obs_rate,0.1,235,0.04425995384493109,0.02419995020922549
unitedmet,UnitedMet,obs_rate,0.25,589,0.013968202371717212,0.0172513161878467
unitedmet,UnitedMet,obs_rate,0.5,1179,-0.011287142413963882,-0.03105173076756369
unitedmet,UnitedMet,obs_rate,0.75,1769,0.027848641300845328,0.051117601187941425
unitedmet,UnitedMet,obs_rate,0.9,2123,0.021433824930255363,0.02419995020922549
unitedmet,UnitedMet,obs_rate,1.0,2359,0.007074046335162117,0.012073954110334071
unitedmet,UnitedMet,coef_var,0.05,117,-0.020765158095139964,-0.0017673937831283505
unitedmet,UnitedMet,coef_var,0.1,235,0.0020122269004043607,0.016458265446558734
unitedmet,UnitedMet,coef_var,0.25,589,0.0226116259106436,0.03354267412541232
unitedmet,UnitedMet,coef_var,0.5,1179,-0.005915627933598471,-0.01850132918493274
unitedmet,UnitedMet,coef_var,0.75,1769,-0.01000549715811097,-0.026949565860454584
unitedmet,UnitedMet,coef_var,0.9,2123,-0.001071228865974643,-0.008992634166106316
unitedmet,UnitedMet,coef_var,1.0,2359,0.007074046335162115,0.012073954110334071
xgboost,XGBoost,train_r2,0.05,117,-0.07484535686507568,-0.06203105893267222
xgboost,XGBoost,train_r2,0.1,235,-0.05693534606373099,-0.05127597417609949
xgboost,XGBoost,train_r2,0.25,587,-0.016719683560352052,-0.0153758651591581
xgboost,XGBoost,train_r2,0.5,1175,0.00965832465856626,0.018246609659716275
xgboost,XGBoost,train_r2,0.75,1762,0.014322854732808891,0.021013388062210245
xgboost,XGBoost,train_r2,0.9,2115,0.012772300540462515,0.015139180024622
xgboost,XGBoost,train_r2,1.0,2350,0.017217228153738866,0.021604103750792525
xgboost,XGBoost,max_gene_corr,0.05,117,0.10699936778970257,0.10811555652045658
xgboost,XGBoost,max_gene_corr,0.1,235,0.10806498604168571,0.10833638953356121
xgboost,XGBoost,max_gene_corr,0.25,587,0.10725611486994083,0.1093037039155577
xgboost,XGBoost,max_gene_corr,0.5,1175,0.03869612844357454,0.09540146616359418
xgboost,XGBoost,max_gene_corr,0.75,1762,0.014981322350889035,0.009302382877833495
xgboost,XGBoost,max_gene_corr,0.9,2115,0.018032292919837142,0.018711575674695766
xgboost,XGBoost,max_gene_corr,1.0,2350,0.017217228153738866,0.021604103750792525
xgboost,XGBoost,obs_rate,0.05,117,0.08988682593994606,0.09744577479421325
xgboost,XGBoost,obs_rate,0.1,235,0.06778255599828453,0.04445520101046852
xgboost,XGBoost,obs_rate,0.25,587,0.035889831670169715,0.039167136821500664
xgboost,XGBoost,obs_rate,0.5,1175,0.008345394714731854,-0.0064127891027815475
xgboost,XGBoost,obs_rate,0.75,1762,0.04061522024087437,0.06865759435098769
xgboost,XGBoost,obs_rate,0.9,2115,0.03438854787843977,0.03224071946557573
xgboost,XGBoost,obs_rate,1.0,2350,0.017217228153738866,0.021604103750792525
xgboost,XGBoost,coef_var,0.05,117,0.0022875419555450473,0.021398105936610515
xgboost,XGBoost,coef_var,0.1,235,0.013946557108079053,0.031031149982763264
xgboost,XGBoost,coef_var,0.25,587,0.03984898394216907,0.05118085432299668
xgboost,XGBoost,coef_var,0.5,1175,0.009019626532312893,0.0010716570146096151
xgboost,XGBoost,coef_var,0.75,1762,0.0021858251622225164,-0.002027513690986139
xgboost,XGBoost,coef_var,0.9,2115,0.009714175279958473,0.009133438439489678
xgboost,XGBoost,coef_var,1.0,2350,0.017217228153738866,0.021604103750792525
